Currency,USD,EUR,GBP,JPY,CAD,AUD,CHF,CNY,HKD,NZD
USD,1.00000000000000000000000000000000,0.91320000000000000000000000000000,0.78230000000000000000000000000000,149.65000000000000000000000000000000,1.35420000000000000000000000000000,1.52310000000000000000000000000000,0.89760000000000000000000000000000,7.21340000000000000000000000000000,7.81230000000000000000000000000000,1.63240000000000000000000000000000
EUR,1.09510000000000000000000000000000,1.00000000000000000000000000000000,0.85670000000000000000000000000000,163.87230000000000000000000000000000,1.48300000000000000000000000000000,1.66790000000000000000000000000000,0.98290000000000000000000000000000,7.89910000000000000000000000000000,8.55470000000000000000000000000000,1.78750000000000000000000000000000
GBP,1.27840000000000000000000000000000,1.16730000000000000000000000000000,1.00000000000000000000000000000000,191.29000000000000000000000000000000,1.73100000000000000000000000000000,1.94700000000000000000000000000000,1.14750000000000000000000000000000,9.22050000000000000000000000000000,9.98640000000000000000000000000000,2.08690000000000000000000000000000
JPY,0.00668226529234882726361510858671,0.00610232498932075546469761761155,0.00522767522610175650060642479481,1.00000000000000000000000000000000,0.00900000000000000000000000000000,0.01020000000000000000000000000000,0.00600000000000000000000000000000,0.04820000000000000000000000000000,0.05220000000000000000000000000000,0.01090000000000000000000000000000
CAD,0.73840000000000000000000000000000,0.67430000000000000000000000000000,0.57770000000000000000000000000000,111.11111111111111111111111111111111,1.00000000000000000000000000000000,1.12470000000000000000000000000000,0.66280000000000000000000000000000,5.32670000000000000000000000000000,5.76900000000000000000000000000000,1.20540000000000000000000000000000
AUD,0.65660000000000000000000000000000,0.59960000000000000000000000000000,0.51360000000000000000000000000000,98.03921568627450980392156862745098,0.88910000000000000000000000000000,1.00000000000000000000000000000000,0.58930000000000000000000000000000,4.73610000000000000000000000000000,5.12920000000000000000000000000000,1.07170000000000000000000000000000
CHF,1.11420000000000000000000000000000,1.01740000000000000000000000000000,0.87150000000000000000000000000000,166.66666666666666666666666666666667,1.50890000000000000000000000000000,1.69690000000000000000000000000000,1.00000000000000000000000000000000,8.03640000000000000000000000000000,8.70340000000000000000000000000000,1.81860000000000000000000000000000
CNY,0.13860000000000000000000000000000,0.12660000000000000000000000000000,0.10850000000000000000000000000000,20.74626865671641791044776119402985,0.18770000000000000000000000000000,0.21110000000000000000000000000000,0.12440000000000000000000000000000,1.00000000000000000000000000000000,1.08300000000000000000000000000000,0.22630000000000000000000000000000
HKD,0.12800000000000000000000000000000,0.11690000000000000000000000000000,0.10010000000000000000000000000000,19.15748792270531400966183574879227,0.17340000000000000000000000000000,0.19500000000000000000000000000000,0.11490000000000000000000000000000,0.92340000000000000000000000000000,1.00000000000000000000000000000000,0.20900000000000000000000000000000
NZD,0.61250000000000000000000000000000,0.55950000000000000000000000000000,0.47920000000000000000000000000000,91.74311926605504587155963302752294,0.82960000000000000000000000000000,0.93310000000000000000000000000000,0.54990000000000000000000000000000,4.41830000000000000000000000000000,4.78470000000000000000000000000000,1.00000000000000000000000000000000
